"intervention","Japan","South Korea","Germany","UK","US","Brazil","Mean"
"Stay-at-home",0.531768114124046,NA,0.588793121879298,0.529440726021273,0.752936395946076,0.536950434490528,0.587977758492244
"School closure",NA,NA,0.320040754328855,NA,0.577621533574323,NA,0.448831143951589
"Childcare closure",0.737660104468715,NA,0.775251496951611,0.172561346397654,0.123126561232178,NA,0.45214987726254
"School+childcare closure",NA,NA,NA,NA,NA,7.4926710481716e-08,7.4926710481716e-08
"Office closure",NA,NA,NA,NA,NA,0.276936075754501,0.276936075754501
"Non-essential retail closure",0.343020075797325,NA,0.326756145600311,0.480912122802789,0.19089516299459,0.805066749143357,0.429330051267675
"Restaurant closure",0.820401545553461,0.00309080106206161,0.352202052270627,NA,0.386737673736769,0.672035023808999,0.446893419286384
"Bar closure",0.382004126354362,NA,NA,NA,0.571875693152148,0.512902777283398,0.488927532263303
"Entertainment venue closure",0.928526809816093,0.544785962559495,0.0557133599303946,NA,0.514987321365496,0.392914976603883,0.487385686055072
"Cultural venue closure",0.481096603374,0.946425077199576,NA,NA,0.657559354482753,0.847614134954853,0.733173792502796
"Religious place closure",0.945912228512024,0.146082213718729,NA,NA,0.11089459220645,0.42134208234688,0.406057779196021
"Indoor sports closure",0.464457747682111,NA,0.15396216512392,NA,0.592505212965623,0.362223207488726,0.393287083315095
"Outdoor sports closure",0.362949903719049,NA,0.0686224205715974,NA,0.709734880862513,0.688523254980326,0.457457615033371
"No outdoor gathering <=10",NA,NA,0.261311084486194,NA,0.480477609757667,NA,0.370894347121931
"No outdoor gathering >10",NA,NA,0.58492525793724,NA,0.00366589520085583,NA,0.294295576569048
"No indoor gathering <=10",0.442991307141328,NA,0.309695671736932,NA,NA,NA,0.37634348943913
"No indoor gathering >10",NA,NA,0.0926811637268906,NA,NA,NA,0.0926811637268906
"No gathering <=10 (indoor+outdoor)",NA,NA,NA,NA,NA,0.99935116338135,0.99935116338135
"No gathering >10 (indoor+outdoor)",NA,NA,NA,NA,NA,0.999999831712892,0.999999831712892
