"","intervention","effect_08","se_effect_08","ci_08_0.95","ci_08_0.5","effect_add","se_effect_add","ci_add_0.95","ci_add_0.5"
"1","Stay-at-home",-0.00936987953338287,0.0997534777342955,0.391033632718438,0.13167459060927,-0.00923173941127903,0.178703432595072,0.700517455772683,0.235888531025495
"2","School+childcare closure",0.35557885565053,0.0451786671147229,0.177100375089714,0.0596358405914342,0.35557885565053,0.0478810308268533,0.187693640841265,0.0632029606914463
"3","Office closure",0.0577802823797989,0.0959643972515997,0.376180437226271,0.126673004372112,0.0682284796797705,0.095652874426385,0.374959267751429,0.126261794242828
"4","Non-essential retail closure",-0.118114987453222,0.134381870085807,0.526776930736363,0.177384068513265,-0.119630035280915,0.151091666494998,0.592279332660393,0.199440999773398
"5","Restaurant closure",-0.0523041804662197,0.115643896270395,0.453324073379948,0.152649943076921,-0.0536284484760002,0.0895094046426681,0.350876866199259,0.118152414128322
"6","Bar closure",-0.00391508659660801,0.119525419454502,0.468539644261648,0.157773553679943,-0.00410780375160812,0.171049186844864,0.670512812431869,0.225784926635221
"7","Entertainment venue closure",0.0480163573784459,0.174347815427418,0.683443436475479,0.230139116364192,0.0461723501078997,0.203819554352673,0.79897265306248,0.269041811745529
"8","Cultural venue closure",-0.175003236182575,0.166150564386224,0.651310212393998,0.219318744989816,-0.175392071702861,0.147167675872986,0.576897289422106,0.194261332152342
"9","Religious place closure",0.0603790886410759,0.300307360896184,1.17720485471304,0.396405716382963,0.0576649172011651,0.289806511888463,1.13604152660278,0.382544595692772
"10","Indoor sports closure",0.0811661086734597,0.227024272765921,0.88993514924241,0.299672040051016,0.0779823028886591,0.176369094481774,0.691366850368554,0.232807204715942
"11","Outdoor sports closure",-0.042176070249601,0.0844551011476711,0.331063996498871,0.111480733514926,-0.042176070249601,0.0955197710077347,0.37443750235032,0.12608609773021
"12","No gathering <=10 (indoor+outdoor)",-0.0529412369622608,0.0141636466087443,0.0555214947062777,0.0186960135235425,-0.05388428150666,0.0132546844841672,0.0519583631779356,0.0174961835191008
"13","No gathering >10 (indoor+outdoor)",-0.0858412897224223,0.0115053559661756,0.0451009953874084,0.0151870698753518,-0.0854174259243796,0.00700379672474516,0.027454883161001,0.00924501167666361
